cohort,data_type,field_name,description,category,units,loinc_code,loinc_name,confidence_score,query_source,llm_reasoning,num_queries,top_5_loinc
arivale,questionnaires,assessment:health-history:chicken_pox:self_past,Health History Old - Assessment:Health-History:Chicken Pox:Self Past,health_history_old,,8662-9,History of Childhood diseases,0.85,exact_description,"LOINC 8662-9 'History of Childhood diseases' is the most appropriate match. Chicken pox is a classic childhood disease, and this field captures historical information about the patient's past chicken pox infection. While 11349-8 'History of Past illness' is more general, 8662-9 specifically targets childhood diseases which is semantically closer to chicken pox history.",5,"['11349-8', '11348-0', '54140-9', '8684-3', '10157-6']"
arivale,questionnaires,assessment:health-history:chicken_pox:maternal,Health History Old - Assessment:Health-History:Chicken Pox:Maternal,health_history_old,,8662-9,History of Childhood diseases,0.85,exact_description,"The field 'assessment:health-history:chicken_pox:maternal' refers to maternal history of chicken pox, which is a childhood disease. LOINC 8662-9 'History of Childhood diseases' is the most appropriate match as it specifically covers historical information about childhood diseases like chicken pox. While it doesn't explicitly mention 'maternal', it's the closest semantic match for documenting past history of chicken pox in the context of health assessments.",5,"['67471-3', '11349-8', '10162-6', '10163-4', '11348-0']"
arivale,questionnaires,assessment:lifestyle:tobacco_pack_day_current:int,Lifestyle - Assessment:Lifestyle:Tobacco Pack Day Current:Int,lifestyle,,8663-7,Cigarettes smoked current (pack per day) - Reported,0.95,exact_description,"Perfect semantic match - '8663-7: Cigarettes smoked current (pack per day)' exactly matches the field's purpose of measuring current daily tobacco consumption in pack units. The units align perfectly (pack per day), the temporal aspect matches (current), and it's the highest scoring match at 0.776.",5,"['8663-7', '92316-9', '74010-0', '70437-9', '88030-2']"
arivale,questionnaires,assessment:lifestyle:tobacco_pack_day_past:int,Lifestyle - Assessment:Lifestyle:Tobacco Pack Day Past:Int,lifestyle,,8663-7,Cigarettes smoked current (pack per day) - Reported,0.75,exact_description,"Best semantic match for cigarette consumption measured in packs per day, though temporal mismatch between 'current' (LOINC) and 'past' (field) reduces confidence",5,"['92316-9', '70437-9', '8663-7', '74010-0', '68535-4']"
arivale,questionnaires,assessment:lifestyle:tobacco_pack_day_current:int,Raw - Assessment:Lifestyle:Tobacco Pack Day Current:Int,raw,,8663-7,Cigarettes smoked current (pack per day) - Reported,0.95,exact_description,"LOINC 8663-7 'Cigarettes smoked current (pack per day) - Reported' is a perfect semantic match. It specifically measures current cigarette smoking in packs per day, which directly corresponds to the field 'tobacco_pack_day_current'. The units (pack per day), temporal aspect (current), and measurement concept (tobacco consumption) align exactly.",5,"['92630-3', '92316-9', '8663-7', '74010-0', '88030-2']"
arivale,questionnaires,assessment:lifestyle:tobacco_pack_day_past:int,Raw - Assessment:Lifestyle:Tobacco Pack Day Past:Int,raw,,8663-7,Cigarettes smoked current (pack per day) - Reported,0.85,exact_description,"Best semantic match for quantitative tobacco consumption in packs per day. While the LOINC specifies 'current' usage vs 'past', it's the only option measuring the specific unit 'pack per day' rather than qualitative tobacco use questions.",5,"['92316-9', '70437-9', '8663-7', '68535-4', '74010-0']"
arivale,questionnaires,assessment:health-history:eye_ear_nose_throat_inner_ear_disorder:self_current,Health History New - Assessment:Health-History:Eye Ear Nose Throat Inner Ear Disorder:Self Current,health_history_new,,8667-8,History of Ear disorders,0.85,exact_description,"Best semantic match for ear disorders history. While the field specifies 'inner ear', LOINC 8667-8 'History of Ear disorders' is the most appropriate available code that covers ear-related conditions. The 'current' aspect is captured by this being a history assessment field.",5,"['11354-8', '11361-3', '11348-0', '10169-1', '10155-0']"
arivale,questionnaires,assessment:health-history:thyroid_overactive:self_past,Health History Old - Assessment:Health-History:Thyroid Overactive:Self Past,health_history_old,,8668-6,History of Endocrine system disorders,0.85,exact_description,"The field asks about past history of overactive thyroid (hyperthyroidism), which is an endocrine system disorder. LOINC 8668-6 'History of Endocrine system disorders' directly captures thyroid conditions as part of the endocrine system. While more general than thyroid-specific, it's the most clinically appropriate match for capturing historical thyroid dysfunction in a standardized way.",5,"['11348-0', '54126-8', '11349-8', '54140-9', '93110-5']"
arivale,questionnaires,assessment:health-history:thyroid_overactive:self_past_year,Health History Old - Assessment:Health-History:Thyroid Overactive:Self Past Year,health_history_old,,8668-6,History of Endocrine system disorders,0.8,exact_description,"Best semantic match for thyroid disorder history. Thyroid conditions are endocrine disorders, and this code specifically addresses history of endocrine system disorders with appropriate system classification. The structured format fits better than the narrative version for questionnaire data.",5,"['93110-5', '54126-8', '11348-0', '11349-8', '54140-9']"
arivale,questionnaires,jiahui:health-history:hh:thyroid:general,Misc - Jiahui:Health-History:Hh:Thyroid:General,misc,,8668-6,History of Endocrine system disorders,0.85,exact_description,"Best semantic match for general thyroid health history in questionnaire data. Code specifically captures endocrine system disorder history, which includes thyroid conditions, and is appropriate for patient-reported historical information rather than specific lab measurements.",4,"['45638-4', '8668-6', '10170-9', '29575-8', '17786-5']"
arivale,questionnaires,jiahui:health-history:hh:thyroid:hashimoto_disease,Misc - Jiahui:Health-History:Hh:Thyroid:Hashimoto Disease,misc,,8668-6,History of Endocrine system disorders,0.75,exact_description,"History of Endocrine system disorders is the most appropriate match as Hashimoto's disease is an autoimmune endocrine disorder affecting the thyroid. While not specific to Hashimoto's, this code correctly categorizes it within endocrine system disorders for historical medical data collection.",5,"['45638-4', '10170-9', '8668-6', '50715-2', '54799-2']"
arivale,questionnaires,jiahui:health-history:hh:thyroid:general,Raw - Jiahui:Health-History:Hh:Thyroid:General,raw,,8668-6,History of Endocrine system disorders,0.85,exact_description,"The field 'thyroid:general' from health history questionnaire maps best to 'History of Endocrine system disorders' (8668-6). This LOINC code is designed for capturing historical information about endocrine conditions, which includes thyroid disorders. The thyroid is part of the endocrine system, and this appears to be collecting general thyroid health history rather than specific lab values or detailed clinical findings.",4,"['45638-4', '10170-9', '8668-6', '29575-8', '54140-9']"
arivale,questionnaires,jiahui:health-history:hh:thyroid:other,Raw - Jiahui:Health-History:Hh:Thyroid:Other,raw,,8668-6,History of Endocrine system disorders,0.85,exact_description,"8668-6 'History of Endocrine system disorders' is the best match for a thyroid 'other' field in health history questionnaires. Thyroid conditions are endocrine disorders, and this LOINC code specifically captures historical endocrine system information, which aligns with the questionnaire context. The high vector similarity score (0.705) and appropriate system (Endocrine system) support this selection.",4,"['45638-4', '10170-9', '8668-6', '54140-9', '54116-9']"
arivale,questionnaires,jiahui:health-history:hh:thyroid:thyroid_nodule,Raw - Jiahui:Health-History:Hh:Thyroid:Thyroid Nodule,raw,,8668-6,History of Endocrine system disorders,0.8,exact_description,"Best semantic match for thyroid nodule history as an endocrine system disorder. While not thyroid-specific, it appropriately categorizes this condition within endocrine history, which is more precise than general disease history codes.",5,"['54140-9', '45638-4', '10170-9', '54116-9', '69236-8']"
arivale,questionnaires,assessment:health-history:infectious_disease_herpes_type1_type2:grandparent,Health History New - Assessment:Health-History:Infectious Disease Herpes Type1 Type2:Grandparent,health_history_new,,8670-2,History of family member diseases,0.85,exact_description,"The field specifically asks about infectious disease herpes in grandparents, which is clearly family history. LOINC 8670-2 'History of family member diseases' is the most appropriate general code for capturing family history of diseases. While more specific herpes codes might exist, this general family history code best matches the grandparent context and infectious disease category.",5,"['54116-9', '54117-7', '54140-9', '8670-2', '10157-6']"
arivale,questionnaires,assessment:health-history:infectious_disease_herpes_type1_type2:family,Health History New - Assessment:Health-History:Infectious Disease Herpes Type1 Type2:Family,health_history_new,,8670-2,History of family member diseases,0.85,exact_description,"The field asks about family history of herpes (infectious disease). LOINC 8670-2 'History of family member diseases' is the most appropriate match as it captures family history of diseases generally, which would include infectious diseases like herpes. While more specific codes for infectious disease family history might exist, this is the best available match that accurately represents the semantic meaning of collecting family disease history information.",5,"['54116-9', '54117-7', '8670-2', '10157-6', '54114-4']"
arivale,questionnaires,assessment:health-history:infectious_disease_shingles:family,Health History New - Assessment:Health-History:Infectious Disease Shingles:Family,health_history_new,,8670-2,History of family member diseases,0.8,exact_description,"8670-2 'History of family member diseases' is the most appropriate match as it specifically captures family history of diseases, which aligns with the field's focus on family history of shingles (an infectious disease). While not infectious-disease-specific, family history context takes priority over disease type specificity in this clinical scenario.",5,"['54116-9', '10157-6', '54117-7', '8670-2', '54140-9']"
arivale,questionnaires,assessment:health-history:skin_condition_acne:family,Health History New - Assessment:Health-History:Skin Condition Acne:Family,health_history_new,,8670-2,History of family member diseases,0.75,exact_description,"Best match for family history of a medical condition (acne). While not skin-specific, it appropriately captures family disease history, and acne qualifies as a family member disease. The family history aspect is more critical than skin specificity for this field.",5,"['54114-4', '10178-2', '10157-6', '68731-9', '54116-9']"
arivale,questionnaires,assessment:health-history:autoimmune_multiple_sclerosis:grandparent,Health History New - Assessment:Health-History:Autoimmune Multiple Sclerosis:Grandparent,health_history_new,,8670-2,History of family member diseases,0.85,exact_description,"This field captures grandparent history of multiple sclerosis, which is a family history of autoimmune disease. LOINC 8670-2 'History of family member diseases' with system '^Family member' is the most appropriate match as it specifically covers family member disease history. While 71107-7 mentions multiple sclerosis, it's a functional assessment questionnaire for patients with MS, not family history. The other family history codes (54117-7, 54114-4, 54116-9) are more general panels, whereas 8670-2 is the core concept for family member disease history.",5,"['71107-7', '54117-7', '74042-3', '54114-4', '75283-2']"
arivale,questionnaires,assessment:health-history:gut_gi_crohns_disease:grandparent,Health History New - Assessment:Health-History:Gut Gi Crohns Disease:Grandparent,health_history_new,,8670-2,History of family member diseases,0.85,exact_description,"This field captures family history of Crohn's disease in grandparents. LOINC 8670-2 'History of family member diseases' with system '^Family member' is the most appropriate match as it specifically covers family member disease history, which aligns perfectly with the grandparent health history context. While 10157-6 and 54116-9 are also family history codes, 8670-2 is more concise and directly applicable.",5,"['10157-6', '68740-0', '54116-9', '8670-2', '11348-0']"
arivale,questionnaires,assessment:health-history:gut_gi_irritable_bowel_syndrome:grandparent,Health History New - Assessment:Health-History:Gut Gi Irritable Bowel Syndrome:Grandparent,health_history_new,,8670-2,History of family member diseases,0.85,exact_description,"This field captures family history of a specific GI condition (IBS) in grandparents. LOINC 8670-2 'History of family member diseases' with system '^Family member' is the most appropriate match for structured collection of family medical history data, which aligns with the questionnaire format and grandparent specification.",5,"['11355-5', '11362-1', '75283-2', '68740-0', '10157-6']"
arivale,questionnaires,assessment:health-history:gynecological_pelvic_inflammatory_disease:grandparent,Health History New - Assessment:Health-History:Gynecological Pelvic Inflammatory Disease:Grandparent,health_history_new,,8670-2,History of family member diseases,0.85,exact_description,"The field asks about pelvic inflammatory disease in a grandparent, which is clearly family history of diseases. LOINC 8670-2 'History of family member diseases' is the most appropriate match as it broadly covers family member disease history without being overly specific to structured formats (like USSG-FHT) or narrative notes. The gynecological condition in a grandparent fits well within this general family disease history category.",5,"['10157-6', '54116-9', '8670-2', '11322-5', '54117-7']"
arivale,questionnaires,assessment:health-history:liver_pancreas_gallbladder_cirrhosis:grandparent,Health History New - Assessment:Health-History:Liver Pancreas Gallbladder Cirrhosis:Grandparent,health_history_new,,8670-2,History of family member diseases,0.85,exact_description,"This field captures family history of liver/pancreas/gallbladder cirrhosis in grandparents. LOINC 8670-2 'History of family member diseases' is the most appropriate match as it specifically covers family member disease history. While 10157-6 'History of family member diseases note' is similar, 8670-2 is more direct for structured data capture rather than narrative notes.",5,"['28017-2', '28016-4', '10157-6', '68858-0', '11322-5']"
arivale,questionnaires,assessment:health-history:liver_pancreas_gallbladder_fatty_liver_disease:grandparent,Health History New - Assessment:Health-History:Liver Pancreas Gallbladder Fatty Liver Disease:Grandparent,health_history_new,,8670-2,History of family member diseases,0.85,exact_description,"This field captures family history of liver/pancreas/gallbladder fatty liver disease in grandparents. LOINC 8670-2 'History of family member diseases' with system '^Family member' is the most appropriate match as it specifically covers family member disease history, which aligns perfectly with the grandparent-specific health history being collected. While 10157-6 and 54116-9 are also family history codes, 8670-2 is the most direct and commonly used code for general family member disease history.",5,"['28017-2', '10157-6', '88655-6', '28016-4', '8670-2']"
arivale,questionnaires,assessment:health-history:cancer_basal_cell_carcinoma:family,Health History New - Assessment:Health-History:Cancer Basal Cell Carcinoma:Family,health_history_new,,8670-2,History of family member diseases,0.85,exact_description,"This field captures family history of basal cell carcinoma specifically. LOINC 8670-2 'History of family member diseases' is the most appropriate as it's a general code for documenting family disease history, which would encompass cancer types like basal cell carcinoma. While 21850-3 is cancer-specific, 8670-2 is more commonly used for structured family history data collection and aligns better with the systematic nature of this questionnaire field.",5,"['21850-3', '54114-4', '54117-7', '54116-9', '10157-6']"
arivale,questionnaires,assessment:health-history:gut_gi_celiac_disease:family,Health History New - Assessment:Health-History:Gut Gi Celiac Disease:Family,health_history_new,,8670-2,History of family member diseases,0.85,exact_description,"The field captures family history of celiac disease, a gastrointestinal condition. LOINC 8670-2 'History of family member diseases' with system '^Family member' directly matches both the family history aspect and the disease context. While more specific GI codes exist (11355-5, 11362-1), this field specifically asks about family history rather than personal GI history, making the family member disease history code most appropriate.",5,"['75283-2', '10157-6', '8670-2', '54117-7', '11355-5']"
arivale,questionnaires,assessment:health-history:gynecological_fibroids_leiomyoma:family,Health History New - Assessment:Health-History:Gynecological Fibroids Leiomyoma:Family,health_history_new,,8670-2,History of family member diseases,0.8,exact_description,"Best match for family history of a specific disease (gynecological fibroids). While not specific to gynecological conditions, it appropriately captures family member disease history and is the most semantically aligned general code available.",5,"['54116-9', '21850-3', '10157-6', '56837-8', '8670-2']"
arivale,questionnaires,assessment:health-history:liver_pancreas_gallbladder_cirrhosis:family,Health History New - Assessment:Health-History:Liver Pancreas Gallbladder Cirrhosis:Family,health_history_new,,8670-2,History of family member diseases,0.85,exact_description,"This field captures family history of liver/pancreas/gallbladder cirrhosis. LOINC 8670-2 'History of family member diseases' with system '^Family member' is the most appropriate general code for family disease history. While 10157-6 is more specific as a 'note', 8670-2 better represents the structured data collection nature of this questionnaire field.",5,"['28017-2', '28016-4', '10157-6', '97063-2', '8670-2']"
arivale,questionnaires,assessment:health-history:liver_pancreas_gallbladder_fatty_liver_disease:family,Health History New - Assessment:Health-History:Liver Pancreas Gallbladder Fatty Liver Disease:Family,health_history_new,,8670-2,History of family member diseases,0.8,exact_description,"This code captures family history of diseases, which aligns with the field's focus on family history of liver/pancreas/gallbladder conditions. While not organ-specific, it's the most appropriate general family history code available.",5,"['10157-6', '28017-2', '97063-2', '28016-4', '8670-2']"
arivale,questionnaires,assessment:health-history:liver_pancreas_gallbladder_liver_abscess_cyst:family,Health History New - Assessment:Health-History:Liver Pancreas Gallbladder Liver Abscess Cyst:Family,health_history_new,,8670-2,History of family member diseases,0.85,exact_description,"This field collects family history of liver, pancreas, and gallbladder conditions. LOINC 8670-2 'History of family member diseases' is the most appropriate code for structured family history data collection, rather than imaging studies or procedures that were the other top matches.",5,"['28016-4', '28017-2', '10684-9', '43557-8', '24711-4']"
arivale,questionnaires,assessment:health-history:liver_pancreas_gallbladder_other_hepatitis:family,Health History New - Assessment:Health-History:Liver Pancreas Gallbladder Other Hepatitis:Family,health_history_new,,8670-2,History of family member diseases,0.85,exact_description,"This field captures family history of liver/pancreas/gallbladder conditions including hepatitis. LOINC 8670-2 'History of family member diseases' (system: ^Family member) directly matches the 'family' aspect and covers disease history collection, which would include hepatitis and other liver/pancreas/gallbladder conditions mentioned in the field description.",5,"['28017-2', '28016-4', '10157-6', '11348-0', '80839-4']"
arivale,questionnaires,assessment:health-history:chicken_pox:family,Health History Old - Assessment:Health-History:Chicken Pox:Family,health_history_old,,8670-2,History of family member diseases,0.85,exact_description,"The field 'assessment:health-history:chicken_pox:family' specifically asks about chicken pox in family members. LOINC 8670-2 'History of family member diseases' is the most appropriate match as it directly captures family history of diseases (which would include chicken pox) with the correct system (^Family member). While 10157-6 has a slightly higher score, 8670-2 is more semantically aligned as it's specifically for recording diseases rather than just notes about diseases.",5,"['10157-6', '8670-2', '54116-9', '11349-8', '11348-0']"
arivale,questionnaires,assessment:health-history:skin_abnormal_moles:family,Health History Old - Assessment:Health-History:Skin Abnormal Moles:Family,health_history_old,,8670-2,History of family member diseases,0.8,exact_description,"This code specifically captures history of family member diseases, which appropriately encompasses family history of skin abnormal moles. While not skin-specific, it's the most direct and commonly used LOINC code for family disease history documentation.",5,"['54117-7', '54114-4', '54116-9', '10157-6', '68731-9']"
arivale,questionnaires,assessment:health-history:arthritis_osteoarthritis:siblings,Health History Old - Assessment:Health-History:Arthritis Osteoarthritis:Siblings,health_history_old,,8670-2,History of family member diseases,0.85,exact_description,"8670-2 'History of family member diseases' best captures the semantic intent of collecting arthritis/osteoarthritis history specifically about siblings (family members). While not arthritis-specific, it's the most appropriate code for family member disease history collection.",5,"['54114-4', '54116-9', '85407-5', '10157-6', '54117-7']"
arivale,questionnaires,assessment:health-history:diverticulosis:siblings,Health History Old - Assessment:Health-History:Diverticulosis:Siblings,health_history_old,,8670-2,History of family member diseases,0.85,exact_description,"8670-2 'History of family member diseases' is the most appropriate match. The field specifically asks about diverticulosis in siblings, which is a family history question about a specific disease. While some other codes focus on general family member health history, 8670-2 specifically addresses diseases in family members, which directly matches the intent of asking about diverticulosis (a disease) in siblings (family members).",5,"['63779-3', '106399-9', '54117-7', '10157-6', '54116-9']"
arivale,questionnaires,assessment:health-history:irritable_bowel_syndrome:siblings,Health History Old - Assessment:Health-History:Irritable Bowel Syndrome:Siblings,health_history_old,,8670-2,History of family member diseases,0.85,exact_description,"This field captures family history of irritable bowel syndrome in siblings, which is a specific gastrointestinal disorder. LOINC 8670-2 'History of family member diseases' with system '^Family member' is the most appropriate match as it directly addresses family member disease history. While 28488-5 'Bowel Function Status Family' is more specific to bowel conditions, 8670-2 is the standard code for capturing any family member disease history, including GI disorders like IBS.",5,"['75283-2', '10157-6', '8670-2', '28488-5', '54114-4']"
arivale,questionnaires,assessment:health-history:hepatitis_other:paternal,Health History Old - Assessment:Health-History:Hepatitis Other:Paternal,health_history_old,,8670-2,History of family member diseases,0.85,exact_description,"This field captures paternal hepatitis history, which is family member disease history. LOINC 8670-2 'History of family member diseases' with system '^Family member' is the most appropriate match as it specifically covers disease history in family members, which includes paternal hepatitis. While hepatitis-specific LOINC codes exist, this general family disease history code is standard for questionnaire data capturing family medical history.",5,"['54114-4', '54116-9', '54117-7', '54137-5', '54126-8']"
arivale,questionnaires,assessment:health-history:arthritis_rheumatoid:grandparent,Health History Old - Assessment:Health-History:Arthritis Rheumatoid:Grandparent,health_history_old,,8670-2,History of family member diseases,0.85,exact_description,"This field captures rheumatoid arthritis history in grandparents. LOINC 8670-2 'History of family member diseases' with system '^Family member' is the most appropriate match as it specifically addresses family member disease history, which directly aligns with capturing grandparent health conditions. While more specific arthritis codes exist, this general family history code is the standard approach for capturing specific diseases in family members within questionnaire contexts.",5,"['54114-4', '54116-9', '54117-7', '54126-8', '68791-3']"
arivale,questionnaires,assessment:health-history:colon_polyp:grandparent,Health History Old - Assessment:Health-History:Colon Polyp:Grandparent,health_history_old,,8670-2,History of family member diseases,0.85,exact_description,This field captures family history of colon polyps in grandparents. LOINC 8670-2 'History of family member diseases' with system '^Family member' is the most semantically appropriate match for recording structured family medical history data.,5,"['75283-2', '12048-5', '10157-6', '8670-2', '97068-1']"
